Artist,CountryRegion,Role,BriefArtistIntroEnglish,BriefArtistIntroChinese,Source
Amber Van Day,United Kingdom,singer-songwriter,"British singer-songwriter with a sultry, commanding voice. She broke through in 2020 with the deep house-pop hit ""WTF"" (with Hugel), which surpassed 250 million streams globally. Her debut solo single ""Kids In The Corner"" was featured as the opening track for Netflix's Cursed in 2020. Her music blends dance-pop with empowering lyrics about female confidence and self-acceptance.",英国创作型女歌手，嗓音性感撩人、极具辨识度。2020年与法国DJ Hugel合作Deep House流行单曲《WTF》全球播放量超2.5亿次。首支个人单曲《Kids In The Corner》同年被Netflix剧集《天命之咒》选为开场曲。音乐风格融合舞曲流行与女性赋权主题，充满力量感。,https://www.bandsintown.com/e/1034335600-amber-van-day-at-clock-tower-st.-pancras-station
Assen捷 (Assen Jie),China,singer,"Chinese gufeng (ancient-style) singer recognized for his deep, resonant baritone and expressive falsetto that can deliver both male and female operatic roles. He released his debut original album Qing·Jie in 2014. Since the mid-2010s, he has contributed theme songs for the hit game Jianwang 3 and the Daomu Biji franchise, building a strong following in the fantasy music scene.",中国古风男歌手，嗓音低沉浑厚、磁性温柔，假声可演绎女声或戏腔。2014年发行首张原创古风专辑《情·捷》。2010年代中期起为游戏《剑网3》和《盗墓笔记》IP献唱主题曲，在玄幻音乐圈内拥有较高知名度。,https://baike.baidu.com/item/Assen%E6%8D%B7/0?fromModule=lemma_inlink
Bella Poarch,Filipino-American,singer and media personality,"Filipino-American singer and social media personality. Her voice is breathy and playful, with a distinctive charisma. She rose to fame in August 2020 after posting the most-liked video on TikTok. She released her debut single ""Build a Bitch"" in 2021 — an alt-pop/electronic track with dark trap influences that critiques unrealistic beauty standards — which charted on the Billboard Hot 100.",菲裔美国歌手及社交媒体红人，嗓音慵懒轻快、极具辨识度。2020年8月在TikTok发布对嘴视频后一举成名。2021年发行首支单曲《Build a Bitch》——一首融合另类流行、电子与暗黑陷阱元素的歌曲，批判不切实际的审美标准——成功打入Billboard Hot 100。,https://en.wikipedia.org/wiki/Bella_Poarch
Bradley Cooper,American,演员、导演（偶有演唱）,"American actor and filmmaker. For A Star Is Born (2018), underwent 18 months of vocal training. Worked with dialect coach to lower speaking voice by an octave. Vocals performed live on set, described as a patchwork of rock, country, and soul influences.",美国演员、导演。为出演《一个明星的诞生》（2018）接受了长达18个月的声乐训练，并与方言教练合作将说话声线降低了一个八度。片中所有演唱均为现场录制，嗓音带有摇滚、乡村和灵魂乐的混合质感。,https://www.oprahdaily.com/entertainment/tv-movies/a26454245/does-bradley-cooper-sing-a-star-is-born/; https://www.classicfm.com/discover-music/bradley-cooper-singing-a-star-is-born/
Bruno Mars,American,singer-songwriter and performer,"American pop icon. His three-octave tenor range and vintage showmanship draw from funk, R&B, and soul traditions. He released his debut album Doo-Wops & Hooligans in 2010. He has sold over 200 million records worldwide, won 15 Grammy Awards, and scored global hits including ""Uptown Funk"" (2014) and ""Leave the Door Open"" (2021). His live performances are legendary for their electrifying energy.",美国流行乐标志性人物，拥有三个八度的男高音音域，复古舞台表现力极强，音乐扎根于放克、R&B与灵魂乐传统。2010年发行首张专辑《Doo-Wops & Hooligans》，全球唱片销量超2亿张，斩获15座格莱美奖，代表作包括《Uptown Funk》（2014）和《Leave the Door Open》（2021）。现场演出以充满活力的舞台能量闻名于世。,https://en.wikipedia.org/wiki/Bruno_Mars
Charli xcx,British,singer-songwriter and pop artist,"British pop experimentalist. Her music sits at the intersection of glossy pop hooks, club culture, and restless electronic production. She co-wrote and featured on Icona Pop's ""I Love It"" in 2012, which topped the UK charts. She released her debut album True Romance in 2013 and later defined the hyperpop genre with Pop 2 (2017) and Charli (2019). Her forward-thinking production has influenced a generation of pop artists.",英国流行音乐实验者，音乐游走于华丽流行旋律、俱乐部文化与不断革新的电子制作之间。2012年参与创作并献声Icona Pop的《I Love It》而崭露头角，2013年发行首张专辑《True Romance》。此后以《Pop 2》（2017）和《Charli》（2019）定义了超流行风格，以前瞻性的制作理念影响了一代流行音乐人。,https://en.wikipedia.org/wiki/Charli_XCX
Chris James,United States,singer-songwriter,"Grammy-nominated American singer-songwriter. His voice is warm and raspy, balancing youthful energy with emotional depth. His track ""Not Angry"" went viral in 2020, amassing over 5 billion views across social platforms in Asia. He co-wrote BTS's ""Life Goes On"" (2020), which hit No. 1 on the Billboard Hot 100. Critics often describe his songwriting as ""emotional diary"" pop.","获格莱美提名的美国创作型歌手，嗓音温暖沙哑，兼具少年感与情感深度。2020年代表作《Not Angry》在亚洲社交平台走红，话题播放量超50亿次。同年参与创作BTS的《Life Goes On》，该曲登顶Billboard Hot 100。创作风格被乐评人形容为情感日记""式的流行音乐。""",https://www.kugou.com/singer/153765.html
Eric周兴哲 (Eric Chou),"Taiwan, China",singer-songwriter,"Taiwanese Mandopop singer-songwriter. His music revolves around clean piano-driven balladry, restrained romanticism, and emotionally resonant melodies. He made his debut in August 2014 with the self-composed hit ""The Distance of Love"", which became the ending theme for the hit drama The Way We Were. He has since become one of the most streamed Mandopop artists of the 2010s and 2020s, known for his gentle vocal delivery.",台湾创作型华语流行歌手，音乐以干净的钢琴抒情旋律、克制的浪漫主义与真挚的情感共鸣为特征。2014年8月以自创曲《以后别做朋友》出道，该曲成为台剧《十六个夏天》片尾曲。此后成为2010至2020年代流媒体播放量最高的华语歌手之一，声线温柔细腻。,https://en.wikipedia.org/wiki/Eric_Chou
Faye 詹雯婷 (Faye Chan),"Taiwan, China",singer,"Taiwanese pop singer. Her voice is ethereal and piercing, balancing rock grit with electronic dreaminess. She rose to fame in 2002 as the lead vocalist of F.I.R., scoring massive hits like ""Lydia"", ""Our Love"", and ""Crescent Bay"". After leaving the band in 2018, she launched a solo career exploring electronica and world music. Her 2022 theme song ""Jue Ai"" for the drama Love Between Fairy and Devil became a viral sensation across Asia.",台湾流行女歌手，嗓音空灵而富有穿透力，兼具摇滚的爆发力与电子音乐的迷离感。2002年以飞儿乐团（F.I.R.）主唱出道，《Lydia》、《我们的爱》、《月牙湾》等经典红遍华语乐坛。2018年单飞后推出个人专辑，探索电子与世界音乐。2022年为电视剧《苍兰诀》演唱的主题曲《诀爱》在亚洲范围内引发热潮。,https://music.apple.com/tw/artist/faye-%E8%A9%B9%E9%9B%AF%E5%A9%B7/979286583
G.E.M. 邓紫棋 (G.E.M.),Hong Kong,singer-songwriter,"Hong Kong singer-songwriter. Her voice is a powerhouse — wide-ranging, technically precise, and emotionally charged. She rose to prominence at 16 in 2008 and became the youngest artist to hold solo concerts at the Hong Kong Coliseum at 19 in 2011. Her autobiographical songwriting moves from intimate piano ballads to arena-sized pop anthems. Hits include ""Bubble"" (2012) and ""Light Years Away"" (2016).",香港创作型女歌手，拥有一副极具爆发力的嗓音，音域宽广、技术精准且情感充沛。2008年16岁出道，2011年19岁在香港红磡体育馆举办个唱，创下最年轻歌手记录。创作上坚持自传式表达，音乐既能细腻深情亦能大气磅礴。代表作包括深情R&B抒情曲《泡沫》（2012）和电影感流行金曲《光年之外》（2016）。,https://en.wikipedia.org/wiki/G.E.M.
